x1, x2, y_hat	
0.390000, 0.980000, 0.504956	
0.400000, 0.980000, 0.486450	
0.400000, 0.990000, 0.504181	
0.410000, 0.990000, 0.485671	
0.570000, 0.000000, 0.487278	
0.580000, 0.000000, 0.508046	
0.580000, 0.010000, 0.486961	
0.590000, 0.010000, 0.507734	
0.590000, 0.020000, 0.486644	
0.600000, 0.020000, 0.507421	
0.600000, 0.030000, 0.486328	
0.610000, 0.030000, 0.507109	
0.610000, 0.040000, 0.486011	
0.620000, 0.040000, 0.506796	
0.620000, 0.050000, 0.485695	
0.630000, 0.050000, 0.506484	
0.630000, 0.060000, 0.485378	
0.640000, 0.060000, 0.506171	
0.640000, 0.070000, 0.485061	
0.650000, 0.070000, 0.505859	
0.650000, 0.080000, 0.484745	
0.660000, 0.080000, 0.505546	
0.660000, 0.090000, 0.484428	
0.670000, 0.090000, 0.505234	
0.670000, 0.100000, 0.484112	
0.680000, 0.100000, 0.504921	
0.680000, 0.110000, 0.483795	
0.690000, 0.110000, 0.504609	
0.690000, 0.120000, 0.483479	
0.700000, 0.120000, 0.504296	
0.700000, 0.130000, 0.483162	
0.710000, 0.130000, 0.503983	
0.710000, 0.140000, 0.482846	
0.720000, 0.140000, 0.503671	
0.720000, 0.150000, 0.482529	
0.730000, 0.150000, 0.503358	
0.730000, 0.160000, 0.482213	
0.740000, 0.160000, 0.503046	
0.740000, 0.170000, 0.481897	
0.750000, 0.170000, 0.502733	
0.750000, 0.180000, 0.481580	
0.760000, 0.180000, 0.502420	
0.760000, 0.190000, 0.481264	
0.770000, 0.190000, 0.502108	
0.770000, 0.200000, 0.480948	
0.780000, 0.200000, 0.501795	
0.780000, 0.210000, 0.480631	
0.790000, 0.210000, 0.501482	
0.790000, 0.220000, 0.480315	
0.800000, 0.220000, 0.501170	
0.810000, 0.230000, 0.500857	
0.820000, 0.240000, 0.500544	
0.830000, 0.250000, 0.500232	
0.840000, 0.260000, 0.499919	
0.850000, 0.270000, 0.499606	
0.860000, 0.280000, 0.499294	
0.870000, 0.280000, 0.519955	
0.870000, 0.290000, 0.498981	
0.880000, 0.290000, 0.519647	
0.880000, 0.300000, 0.498668	
0.890000, 0.300000, 0.519339	
0.890000, 0.310000, 0.498355	
0.900000, 0.310000, 0.519031	
0.900000, 0.320000, 0.498043	
0.910000, 0.320000, 0.518724	
0.910000, 0.330000, 0.497730	
0.920000, 0.330000, 0.518416	
0.920000, 0.340000, 0.497417	
0.930000, 0.340000, 0.518108	
0.930000, 0.350000, 0.497104	
0.940000, 0.350000, 0.517800	
0.940000, 0.360000, 0.496792	
0.950000, 0.360000, 0.517492	
0.950000, 0.370000, 0.496479	
0.960000, 0.370000, 0.517184	
0.960000, 0.380000, 0.496166	
0.970000, 0.380000, 0.516876	
0.970000, 0.390000, 0.495854	
0.980000, 0.390000, 0.516568	
0.980000, 0.400000, 0.495541	
0.990000, 0.400000, 0.516260	
0.990000, 0.410000, 0.495228	
